11:20:43.465 [INFO] (trainer.py:109) Total Epi:    48 Steps:    1016 Episode Steps:    11 Return:  11.0000 FPS: 9898.02
11:20:43.468 [INFO] (trainer.py:109) Total Epi:    49 Steps:    1043 Episode Steps:    27 Return:  27.0000 FPS: 10838.65
11:20:43.471 [INFO] (trainer.py:109) Total Epi:    50 Steps:    1067 Episode Steps:    24 Return:  24.0000 FPS: 10446.80
11:20:43.473 [INFO] (trainer.py:109) Total Epi:    51 Steps:    1080 Episode Steps:    13 Return:  13.0000 FPS: 10020.25
11:20:43.475 [INFO] (trainer.py:109) Total Epi:    52 Steps:    1092 Episode Steps:    12 Return:  12.0000 FPS: 9359.04
11:20:43.477 [INFO] (trainer.py:109) Total Epi:    53 Steps:    1111 Episode Steps:    19 Return:  19.0000 FPS: 9690.80
11:20:43.479 [INFO] (trainer.py:109) Total Epi:    54 Steps:    1125 Episode Steps:    14 Return:  14.0000 FPS: 10052.28
11:20:43.482 [INFO] (trainer.py:109) Total Epi:    55 Steps:    1140 Episode Steps:    15 Return:  15.0000 FPS: 9876.11
11:20:43.485 [INFO] (trainer.py:109) Total Epi:    56 Steps:    1165 Episode Steps:    25 Return:  25.0000 FPS: 10567.17
11:20:43.488 [INFO] (trainer.py:109) Total Epi:    57 Steps:    1195 Episode Steps:    30 Return:  30.0000 FPS: 10315.60
11:20:43.491 [INFO] (trainer.py:109) Total Epi:    58 Steps:    1211 Episode Steps:    16 Return:  16.0000 FPS: 9831.89
11:20:43.493 [INFO] (trainer.py:109) Total Epi:    59 Steps:    1222 Episode Steps:    11 Return:  11.0000 FPS: 9692.10
11:20:43.495 [INFO] (trainer.py:109) Total Epi:    60 Steps:    1233 Episode Steps:    11 Return:  11.0000 FPS: 7625.99
11:20:43.499 [INFO] (trainer.py:109) Total Epi:    61 Steps:    1271 Episode Steps:    38 Return:  38.0000 FPS: 10716.80
11:20:43.502 [INFO] (trainer.py:109) Total Epi:    62 Steps:    1291 Episode Steps:    20 Return:  20.0000 FPS: 10283.51
11:20:43.506 [INFO] (trainer.py:109) Total Epi:    63 Steps:    1333 Episode Steps:    42 Return:  42.0000 FPS: 10886.15
11:20:43.508 [INFO] (trainer.py:109) Total Epi:    64 Steps:    1345 Episode Steps:    12 Return:  12.0000 FPS: 9452.05
11:20:43.510 [INFO] (trainer.py:109) Total Epi:    65 Steps:    1358 Episode Steps:    13 Return:  13.0000 FPS: 9800.50
11:20:43.512 [INFO] (trainer.py:109) Total Epi:    66 Steps:    1375 Episode Steps:    17 Return:  17.0000 FPS: 10491.66
11:20:43.515 [INFO] (trainer.py:109) Total Epi:    67 Steps:    1391 Episode Steps:    16 Return:  16.0000 FPS: 9860.66
11:20:43.517 [INFO] (trainer.py:109) Total Epi:    68 Steps:    1406 Episode Steps:    15 Return:  15.0000 FPS: 10371.71
11:20:43.519 [INFO] (trainer.py:109) Total Epi:    69 Steps:    1420 Episode Steps:    14 Return:  14.0000 FPS: 10435.22
11:20:43.522 [INFO] (trainer.py:109) Total Epi:    70 Steps:    1445 Episode Steps:    25 Return:  25.0000 FPS: 10191.55
11:20:43.525 [INFO] (trainer.py:109) Total Epi:    71 Steps:    1469 Episode Steps:    24 Return:  24.0000 FPS: 10476.79
11:20:43.529 [INFO] (trainer.py:109) Total Epi:    72 Steps:    1496 Episode Steps:    27 Return:  27.0000 FPS: 8928.45
11:20:43.533 [INFO] (trainer.py:109) Total Epi:    73 Steps:    1531 Episode Steps:    35 Return:  35.0000 FPS: 10897.94
11:20:43.540 [INFO] (trainer.py:109) Total Epi:    74 Steps:    1603 Episode Steps:    72 Return:  72.0000 FPS: 11105.61
11:20:43.543 [INFO] (trainer.py:109) Total Epi:    75 Steps:    1624 Episode Steps:    21 Return:  21.0000 FPS: 9849.51
11:20:43.545 [INFO] (trainer.py:109) Total Epi:    76 Steps:    1637 Episode Steps:    13 Return:  13.0000 FPS: 10197.32
11:20:43.548 [INFO] (trainer.py:109) Total Epi:    77 Steps:    1665 Episode Steps:    28 Return:  28.0000 FPS: 10848.00
11:20:43.551 [INFO] (trainer.py:109) Total Epi:    78 Steps:    1684 Episode Steps:    19 Return:  19.0000 FPS: 9609.83
11:20:43.552 [INFO] (trainer.py:109) Total Epi:    79 Steps:    1696 Episode Steps:    12 Return:  12.0000 FPS: 10025.82
11:20:43.555 [INFO] (trainer.py:109) Total Epi:    80 Steps:    1709 Episode Steps:    13 Return:  13.0000 FPS: 10379.72
11:20:43.557 [INFO] (trainer.py:109) Total Epi:    81 Steps:    1729 Episode Steps:    20 Return:  20.0000 FPS: 10450.77
11:20:43.560 [INFO] (trainer.py:109) Total Epi:    82 Steps:    1755 Episode Steps:    26 Return:  26.0000 FPS: 10376.98
11:20:43.566 [INFO] (trainer.py:109) Total Epi:    83 Steps:    1802 Episode Steps:    47 Return:  47.0000 FPS: 10497.19
11:20:43.569 [INFO] (trainer.py:109) Total Epi:    84 Steps:    1830 Episode Steps:    28 Return:  28.0000 FPS: 10814.58
11:20:43.571 [INFO] (trainer.py:109) Total Epi:    85 Steps:    1847 Episode Steps:    17 Return:  17.0000 FPS: 10597.70
11:20:43.574 [INFO] (trainer.py:109) Total Epi:    86 Steps:    1867 Episode Steps:    20 Return:  20.0000 FPS: 10255.96
11:20:43.576 [INFO] (trainer.py:109) Total Epi:    87 Steps:    1885 Episode Steps:    18 Return:  18.0000 FPS: 10527.21
11:20:43.579 [INFO] (trainer.py:109) Total Epi:    88 Steps:    1909 Episode Steps:    24 Return:  24.0000 FPS: 10579.97
11:20:43.581 [INFO] (trainer.py:109) Total Epi:    89 Steps:    1921 Episode Steps:    12 Return:  12.0000 FPS: 9987.43
11:20:43.584 [INFO] (trainer.py:109) Total Epi:    90 Steps:    1941 Episode Steps:    20 Return:  20.0000 FPS: 10555.57
11:20:43.587 [INFO] (trainer.py:109) Total Epi:    91 Steps:    1969 Episode Steps:    28 Return:  28.0000 FPS: 10528.41
11:20:43.591 [INFO] (trainer.py:109) Total Epi:    92 Steps:    2007 Episode Steps:    38 Return:  38.0000 FPS: 10694.09
11:20:43.595 [INFO] (trainer.py:109) Total Epi:    93 Steps:    2037 Episode Steps:    30 Return:  30.0000 FPS: 8941.09
11:20:43.600 [INFO] (trainer.py:109) Total Epi:    94 Steps:    2076 Episode Steps:    39 Return:  39.0000 FPS: 10835.74
11:20:43.603 [INFO] (trainer.py:109) Total Epi:    95 Steps:    2108 Episode Steps:    32 Return:  32.0000 FPS: 10724.92
11:20:43.605 [INFO] (trainer.py:109) Total Epi:    96 Steps:    2124 Episode Steps:    16 Return:  16.0000 FPS: 10065.06
11:20:43.608 [INFO] (trainer.py:109) Total Epi:    97 Steps:    2140 Episode Steps:    16 Return:  16.0000 FPS: 10058.64
11:20:43.610 [INFO] (trainer.py:109) Total Epi:    98 Steps:    2160 Episode Steps:    20 Return:  20.0000 FPS: 10339.73
11:20:43.614 [INFO] (trainer.py:109) Total Epi:    99 Steps:    2191 Episode Steps:    31 Return:  31.0000 FPS: 10290.69
11:20:43.616 [INFO] (trainer.py:109) Total Epi:   100 Steps:    2206 Episode Steps:    15 Return:  15.0000 FPS: 10120.06
11:20:43.620 [INFO] (trainer.py:109) Total Epi:   101 Steps:    2245 Episode Steps:    39 Return:  39.0000 FPS: 10878.69
11:20:43.623 [INFO] (trainer.py:109) Total Epi:   102 Steps:    2260 Episode Steps:    15 Return:  15.0000 FPS: 10196.78
11:20:43.626 [INFO] (trainer.py:109) Total Epi:   103 Steps:    2286 Episode Steps:    26 Return:  26.0000 FPS: 10432.31
11:20:43.629 [INFO] (trainer.py:109) Total Epi:   104 Steps:    2309 Episode Steps:    23 Return:  23.0000 FPS: 8631.80
11:20:43.632 [INFO] (trainer.py:109) Total Epi:   105 Steps:    2328 Episode Steps:    19 Return:  19.0000 FPS: 10604.25
11:20:43.634 [INFO] (trainer.py:109) Total Epi:   106 Steps:    2344 Episode Steps:    16 Return:  16.0000 FPS: 10021.04
11:20:43.636 [INFO] (trainer.py:109) Total Epi:   107 Steps:    2360 Episode Steps:    16 Return:  16.0000 FPS: 10312.02
11:20:43.640 [INFO] (trainer.py:109) Total Epi:   108 Steps:    2394 Episode Steps:    34 Return:  34.0000 FPS: 10603.63
11:20:43.644 [INFO] (trainer.py:109) Total Epi:   109 Steps:    2430 Episode Steps:    36 Return:  36.0000 FPS: 10345.85
11:20:43.646 [INFO] (trainer.py:109) Total Epi:   110 Steps:    2440 Episode Steps:    10 Return:  10.0000 FPS: 9239.82
11:20:43.648 [INFO] (trainer.py:109) Total Epi:   111 Steps:    2457 Episode Steps:    17 Return:  17.0000 FPS: 10130.55
11:20:43.651 [INFO] (trainer.py:109) Total Epi:   112 Steps:    2477 Episode Steps:    20 Return:  20.0000 FPS: 10341.72
11:20:43.653 [INFO] (trainer.py:109) Total Epi:   113 Steps:    2495 Episode Steps:    18 Return:  18.0000 FPS: 9682.23
11:20:43.656 [INFO] (trainer.py:109) Total Epi:   114 Steps:    2514 Episode Steps:    19 Return:  19.0000 FPS: 10538.62
11:20:43.658 [INFO] (trainer.py:109) Total Epi:   115 Steps:    2525 Episode Steps:    11 Return:  11.0000 FPS: 9511.37
11:20:43.660 [INFO] (trainer.py:109) Total Epi:   116 Steps:    2539 Episode Steps:    14 Return:  14.0000 FPS: 10233.01
11:20:43.662 [INFO] (trainer.py:109) Total Epi:   117 Steps:    2557 Episode Steps:    18 Return:  18.0000 FPS: 8250.13
11:20:43.666 [INFO] (trainer.py:109) Total Epi:   118 Steps:    2581 Episode Steps:    24 Return:  24.0000 FPS: 10374.74
11:20:43.668 [INFO] (trainer.py:109) Total Epi:   119 Steps:    2600 Episode Steps:    19 Return:  19.0000 FPS: 10617.59
11:20:43.672 [INFO] (trainer.py:109) Total Epi:   120 Steps:    2634 Episode Steps:    34 Return:  34.0000 FPS: 10729.78
11:20:43.680 [INFO] (trainer.py:109) Total Epi:   121 Steps:    2710 Episode Steps:    76 Return:  76.0000 FPS: 9823.38
11:20:43.683 [INFO] (trainer.py:109) Total Epi:   122 Steps:    2723 Episode Steps:    13 Return:  13.0000 FPS: 9877.31
11:20:43.685 [INFO] (trainer.py:109) Total Epi:   123 Steps:    2745 Episode Steps:    22 Return:  22.0000 FPS: 10409.40
11:20:43.688 [INFO] (trainer.py:109) Total Epi:   124 Steps:    2765 Episode Steps:    20 Return:  20.0000 FPS: 10659.05
11:20:43.692 [INFO] (trainer.py:109) Total Epi:   125 Steps:    2798 Episode Steps:    33 Return:  33.0000 FPS: 10443.12
11:20:43.695 [INFO] (trainer.py:109) Total Epi:   126 Steps:    2824 Episode Steps:    26 Return:  26.0000 FPS: 10559.38
11:20:43.697 [INFO] (trainer.py:109) Total Epi:   127 Steps:    2838 Episode Steps:    14 Return:  14.0000 FPS: 10332.92
11:20:43.699 [INFO] (trainer.py:109) Total Epi:   128 Steps:    2855 Episode Steps:    17 Return:  17.0000 FPS: 10679.78
11:20:43.701 [INFO] (trainer.py:109) Total Epi:   129 Steps:    2872 Episode Steps:    17 Return:  17.0000 FPS: 10316.92
11:20:43.703 [INFO] (trainer.py:109) Total Epi:   130 Steps:    2883 Episode Steps:    11 Return:  11.0000 FPS: 10268.76
11:20:43.705 [INFO] (trainer.py:109) Total Epi:   131 Steps:    2901 Episode Steps:    18 Return:  18.0000 FPS: 10386.42
11:20:43.707 [INFO] (trainer.py:109) Total Epi:   132 Steps:    2917 Episode Steps:    16 Return:  16.0000 FPS: 9828.10
11:20:43.710 [INFO] (trainer.py:109) Total Epi:   133 Steps:    2933 Episode Steps:    16 Return:  16.0000 FPS: 9652.45
11:20:43.712 [INFO] (trainer.py:109) Total Epi:   134 Steps:    2945 Episode Steps:    12 Return:  12.0000 FPS: 8187.68
11:20:43.715 [INFO] (trainer.py:109) Total Epi:   135 Steps:    2960 Episode Steps:    15 Return:  15.0000 FPS: 10085.02
11:20:43.718 [INFO] (trainer.py:109) Total Epi:   136 Steps:    2989 Episode Steps:    29 Return:  29.0000 FPS: 10566.56
11:20:43.720 [INFO] (trainer.py:109) Total Epi:   137 Steps:    3006 Episode Steps:    17 Return:  17.0000 FPS: 10399.25
11:20:43.724 [INFO] (trainer.py:109) Total Epi:   138 Steps:    3042 Episode Steps:    36 Return:  36.0000 FPS: 10410.33
11:20:43.726 [INFO] (trainer.py:109) Total Epi:   139 Steps:    3056 Episode Steps:    14 Return:  14.0000 FPS: 9233.15
11:20:43.729 [INFO] (trainer.py:109) Total Epi:   140 Steps:    3074 Episode Steps:    18 Return:  18.0000 FPS: 10612.02
11:20:43.731 [INFO] (trainer.py:109) Total Epi:   141 Steps:    3093 Episode Steps:    19 Return:  19.0000 FPS: 10421.07
11:20:43.734 [INFO] (trainer.py:109) Total Epi:   142 Steps:    3116 Episode Steps:    23 Return:  23.0000 FPS: 10429.05
11:20:43.737 [INFO] (trainer.py:109) Total Epi:   143 Steps:    3140 Episode Steps:    24 Return:  24.0000 FPS: 10586.37
11:20:43.740 [INFO] (trainer.py:109) Total Epi:   144 Steps:    3158 Episode Steps:    18 Return:  18.0000 FPS: 10211.91
11:20:43.742 [INFO] (trainer.py:109) Total Epi:   145 Steps:    3173 Episode Steps:    15 Return:  15.0000 FPS: 7274.78
11:20:43.746 [INFO] (trainer.py:109) Total Epi:   146 Steps:    3192 Episode Steps:    19 Return:  19.0000 FPS: 7444.74
11:20:43.748 [INFO] (trainer.py:109) Total Epi:   147 Steps:    3205 Episode Steps:    13 Return:  13.0000 FPS: 10144.96
11:20:43.750 [INFO] (trainer.py:109) Total Epi:   148 Steps:    3217 Episode Steps:    12 Return:  12.0000 FPS: 9950.29
11:20:43.752 [INFO] (trainer.py:109) Total Epi:   149 Steps:    3230 Episode Steps:    13 Return:  13.0000 FPS: 10355.55
11:20:43.755 [INFO] (trainer.py:109) Total Epi:   150 Steps:    3255 Episode Steps:    25 Return:  25.0000 FPS: 10618.87
11:20:43.757 [INFO] (trainer.py:109) Total Epi:   151 Steps:    3267 Episode Steps:    12 Return:  12.0000 FPS: 10171.40
11:20:43.760 [INFO] (trainer.py:109) Total Epi:   152 Steps:    3288 Episode Steps:    21 Return:  21.0000 FPS: 10724.69
11:20:43.762 [INFO] (trainer.py:109) Total Epi:   153 Steps:    3303 Episode Steps:    15 Return:  15.0000 FPS: 9972.24
11:20:43.764 [INFO] (trainer.py:109) Total Epi:   154 Steps:    3317 Episode Steps:    14 Return:  14.0000 FPS: 10415.30
11:20:43.766 [INFO] (trainer.py:109) Total Epi:   155 Steps:    3333 Episode Steps:    16 Return:  16.0000 FPS: 9987.55
11:20:43.769 [INFO] (trainer.py:109) Total Epi:   156 Steps:    3355 Episode Steps:    22 Return:  22.0000 FPS: 10651.82
11:20:43.771 [INFO] (trainer.py:109) Total Epi:   157 Steps:    3371 Episode Steps:    16 Return:  16.0000 FPS: 10455.77
11:20:43.773 [INFO] (trainer.py:109) Total Epi:   158 Steps:    3385 Episode Steps:    14 Return:  14.0000 FPS: 10160.52
11:20:43.775 [INFO] (trainer.py:109) Total Epi:   159 Steps:    3399 Episode Steps:    14 Return:  14.0000 FPS: 10383.87
11:20:43.777 [INFO] (trainer.py:109) Total Epi:   160 Steps:    3413 Episode Steps:    14 Return:  14.0000 FPS: 10298.68
11:20:43.780 [INFO] (trainer.py:109) Total Epi:   161 Steps:    3431 Episode Steps:    18 Return:  18.0000 FPS: 10187.85
11:20:43.782 [INFO] (trainer.py:109) Total Epi:   162 Steps:    3445 Episode Steps:    14 Return:  14.0000 FPS: 9816.05
11:20:43.785 [INFO] (trainer.py:109) Total Epi:   163 Steps:    3474 Episode Steps:    29 Return:  29.0000 FPS: 10779.04
11:20:43.788 [INFO] (trainer.py:109) Total Epi:   164 Steps:    3503 Episode Steps:    29 Return:  29.0000 FPS: 10911.60
11:20:43.791 [INFO] (trainer.py:109) Total Epi:   165 Steps:    3520 Episode Steps:    17 Return:  17.0000 FPS: 10265.37
11:20:43.793 [INFO] (trainer.py:109) Total Epi:   166 Steps:    3541 Episode Steps:    21 Return:  21.0000 FPS: 10176.48
11:20:43.796 [INFO] (trainer.py:109) Total Epi:   167 Steps:    3560 Episode Steps:    19 Return:  19.0000 FPS: 10634.44
11:20:43.800 [INFO] (trainer.py:109) Total Epi:   168 Steps:    3595 Episode Steps:    35 Return:  35.0000 FPS: 10684.22
11:20:43.804 [INFO] (trainer.py:109) Total Epi:   169 Steps:    3628 Episode Steps:    33 Return:  33.0000 FPS: 10671.42
11:20:43.806 [INFO] (trainer.py:109) Total Epi:   170 Steps:    3641 Episode Steps:    13 Return:  13.0000 FPS: 9673.26
11:20:43.808 [INFO] (trainer.py:109) Total Epi:   171 Steps:    3654 Episode Steps:    13 Return:  13.0000 FPS: 10359.84
11:20:43.812 [INFO] (trainer.py:109) Total Epi:   172 Steps:    3689 Episode Steps:    35 Return:  35.0000 FPS: 10574.68
11:20:43.814 [INFO] (trainer.py:109) Total Epi:   173 Steps:    3702 Episode Steps:    13 Return:  13.0000 FPS: 9634.49
11:20:43.815 [INFO] (trainer.py:109) Total Epi:   174 Steps:    3713 Episode Steps:    11 Return:  11.0000 FPS: 10207.14
11:20:43.818 [INFO] (trainer.py:109) Total Epi:   175 Steps:    3734 Episode Steps:    21 Return:  21.0000 FPS: 10434.36
11:20:43.820 [INFO] (trainer.py:109) Total Epi:   176 Steps:    3748 Episode Steps:    14 Return:  14.0000 FPS: 10266.67
11:20:43.823 [INFO] (trainer.py:109) Total Epi:   177 Steps:    3774 Episode Steps:    26 Return:  26.0000 FPS: 10571.18
11:20:43.825 [INFO] (trainer.py:109) Total Epi:   178 Steps:    3787 Episode Steps:    13 Return:  13.0000 FPS: 10216.68
